Model,Split,Target,Residual
Linear Regression,train,triglycerides,0.03123885359096512
Linear Regression,train,triglycerides,0.10426687391241352
Linear Regression,train,triglycerides,-0.029443411401900654
Linear Regression,train,triglycerides,-0.8944992161740246
Linear Regression,train,triglycerides,-0.1748768181818754
Linear Regression,train,triglycerides,0.28534698163067684
Linear Regression,train,triglycerides,0.1111155830548256
Linear Regression,train,triglycerides,-0.12303704065080812
Linear Regression,train,triglycerides,-0.8243372706509091
Linear Regression,train,triglycerides,-0.5223251821373598
Linear Regression,train,triglycerides,0.5110817608829343
Linear Regression,train,triglycerides,-0.39189998870874376
Linear Regression,train,triglycerides,-0.21922691025854668
Linear Regression,train,triglycerides,0.18779136778671646
Linear Regression,train,triglycerides,-0.5250022086807249
Linear Regression,train,triglycerides,-0.6688338691252826
Linear Regression,train,triglycerides,-0.12131679456307776
Linear Regression,train,triglycerides,0.22818195613972758
Linear Regression,train,triglycerides,-0.42771629139448963
Linear Regression,train,triglycerides,-0.07893903116336176
Linear Regression,train,triglycerides,0.2114554961358479
Linear Regression,train,triglycerides,1.1579425822456804
Linear Regression,train,triglycerides,0.02066370690556507
Linear Regression,train,triglycerides,0.9401985710398444
Linear Regression,train,triglycerides,-0.855792790506456
Linear Regression,train,triglycerides,-0.6920990142879475
Linear Regression,train,triglycerides,-0.7205621254305221
Linear Regression,train,triglycerides,-0.010441080560764426
Linear Regression,train,triglycerides,-0.13325155092978047
Linear Regression,train,triglycerides,-0.21750820392352388
Linear Regression,train,triglycerides,0.2780889804686941
Linear Regression,train,triglycerides,-0.14336467709503964
Linear Regression,train,triglycerides,0.10044059542456019
Linear Regression,train,triglycerides,0.0716950298068415
Linear Regression,train,triglycerides,0.4232875080045613
Linear Regression,train,triglycerides,0.14047917316013692
Linear Regression,train,triglycerides,0.7277894461410792
Linear Regression,train,triglycerides,0.11623077647224012
Linear Regression,train,triglycerides,0.42362598976762467
Linear Regression,train,triglycerides,-1.2158407696495295
Linear Regression,train,triglycerides,-0.3881752097276703
